StudyID,Visit1,mon_utm_x,mon_utm_y,lon,lat,dist_wrp,MinDist,elevation,EVI,capacity,dist_dc,inactive_2km,zipcode,days_prior,date_prior,month_floor,active_2km,monthly_oil_2km,monthly_gas_2km,num_odor_complaints
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,1,2023-01-30T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,2,2023-01-29T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,3,2023-01-28T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,4,2023-01-27T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,5,2023-01-26T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,6,2023-01-25T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,7,2023-01-24T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,8,2023-01-23T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,9,2023-01-22T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,10,2023-01-21T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
