"","date","zip","num_odor_complaints"
"13109",2021-06-30,90710,1
"13110",2021-06-30,90712,1
"13111",2021-06-30,90744,1
"13112",2021-06-30,90803,1
"13113",2021-06-30,91732,1
"13114",2021-06-30,91789,1
"13115",2021-06-30,92878,1
"13116",2021-07-01,90061,1
"13117",2021-07-01,90604,3
"13118",2021-07-01,90803,2
"13119",2021-07-01,91384,2
"13120",2021-07-01,92648,1
"13121",2021-07-01,92679,1
"13122",2021-07-02,90023,3
"13123",2021-07-02,90043,10
"13124",2021-07-02,90058,1
"13125",2021-07-02,90202,1
"13126",2021-07-02,90604,3
"13127",2021-07-02,90810,1
"13128",2021-07-02,92585,1
"13129",2021-07-02,92806,1
"13130",2021-07-02,92870,2
"13131",2021-07-03,90023,2
"13132",2021-07-03,90043,2
"13133",2021-07-03,90063,1
"13134",2021-07-03,90604,2
"13135",2021-07-03,92675,1
"13136",2021-07-04,90058,1
"13137",2021-07-04,90604,1
"13138",2021-07-04,90803,2
"13139",2021-07-05,90680,1
"13140",2021-07-05,90745,1
"13141",2021-07-05,92315,1
"13142",2021-07-05,92831,1
"13143",2021-07-06,90058,1
"13144",2021-07-06,90232,1
"13145",2021-07-06,90303,1
"13146",2021-07-06,90604,2
"13147",2021-07-06,90745,1
"13148",2021-07-06,90802,1
"13149",2021-07-06,90804,1
"13150",2021-07-06,91607,1
"13151",2021-07-06,92605,1
"13152",2021-07-06,92646,1
"13153",2021-07-06,92648,1
"13154",2021-07-06,92880,1
"13155",2021-07-07,90058,1
"13156",2021-07-07,90245,1
"13157",2021-07-07,90501,1
"13158",2021-07-07,90604,1
"13159",2021-07-07,91325,1
"13160",2021-07-07,91384,3
"13161",2021-07-07,92865,6
"13162",2021-07-08,90003,1
"13163",2021-07-08,90006,1
"13164",2021-07-08,90018,1
"13165",2021-07-08,90019,1
"13166",2021-07-08,90056,22
"13167",2021-07-08,90061,1
"13168",2021-07-08,90604,3
"13169",2021-07-08,91101,1
"13170",2021-07-08,91310,1
"13171",2021-07-08,91342,6
"13172",2021-07-08,91344,8
"13173",2021-07-08,91384,1
"13174",2021-07-08,91739,1
"13175",2021-07-08,92704,1
"13176",2021-07-08,92880,1
"13177",2021-07-09,90023,3
"13178",2021-07-09,90058,1
"13179",2021-07-09,90250,1
"13180",2021-07-09,90604,1
"13181",2021-07-09,90805,3
"13182",2021-07-09,91342,1
"13183",2021-07-09,91344,1
"13184",2021-07-09,92501,2
"13185",2021-07-09,92867,1
"13186",2021-07-10,90023,1
"13187",2021-07-10,90232,1
"13188",2021-07-10,90604,1
"13189",2021-07-10,91367,2
"13190",2021-07-10,92647,1
"13191",2021-07-10,92679,1
"13192",2021-07-10,92806,1
