"","zip","date","num_odor_complaints"
"10895",91011,2021-10-06,1
"10896",91011,2021-10-22,1
"10897",91011,2022-10-20,1
"10898",91011,2022-12-06,4
"10899",91011,2022-12-07,5
"10900",91011,2022-12-08,2
"10901",91011,2022-12-09,3
"10902",91011,2022-12-12,6
"10903",91011,2022-12-13,5
"10904",91011,2022-12-14,5
"10905",91011,2022-12-15,11
"10906",91011,2022-12-16,10
"10907",91011,2022-12-17,9
"10908",91011,2022-12-18,11
"10909",91011,2022-12-19,11
"10910",91011,2022-12-20,9
"10911",91011,2022-12-21,10
"10912",91011,2022-12-22,2
"10913",91011,2022-12-24,8
"10914",91011,2022-12-25,4
"10915",91011,2022-12-29,1
"10916",91016,2019-03-12,1
"10917",91016,2019-09-16,1
"10918",91016,2020-03-17,1
"10919",91016,2020-05-12,1
"10920",91016,2020-06-26,1
"10921",91016,2021-09-19,1
"10922",91016,2022-04-22,1
"10923",91016,2022-07-31,1
"10924",91016,2022-09-06,1
"10925",91017,2018-10-24,1
"10926",91017,2019-11-14,1
"10927",91017,2021-03-14,1
"10928",91017,2021-08-17,1
"10929",91017,2022-12-06,1
"10930",91020,2020-05-11,2
"10931",91020,2020-08-12,1
"10932",91024,2021-01-28,1
"10933",91024,2022-11-23,1
"10934",91030,2018-04-23,1
"10935",91030,2019-05-15,1
"10936",91030,2020-02-20,1
"10937",91030,2020-02-25,1
"10938",91030,2020-06-16,1
"10939",91030,2020-08-09,2
"10940",91030,2021-05-12,1
"10941",91030,2021-11-27,1
"10942",91030,2022-05-31,1
"10943",91040,2018-02-22,1
"10944",91040,2018-03-07,1
"10945",91040,2018-11-13,1
"10946",91040,2019-04-03,1
"10947",91040,2019-05-29,1
"10948",91040,2019-08-26,1
"10949",91040,2019-08-27,1
"10950",91040,2019-08-30,1
"10951",91040,2019-09-05,1
"10952",91040,2019-10-09,1
"10953",91040,2020-02-10,1
"10954",91040,2020-02-20,1
"10955",91040,2020-05-30,1
"10956",91040,2020-07-04,1
"10957",91040,2020-12-01,1
"10958",91040,2020-12-10,2
"10959",91040,2020-12-16,1
"10960",91040,2020-12-19,4
"10961",91040,2021-03-16,1
"10962",91040,2021-04-19,1
"10963",91040,2021-08-13,1
"10964",91040,2022-03-14,1
"10965",91040,2022-08-26,1
"10966",91042,2018-04-10,1
"10967",91042,2018-04-25,1
"10968",91042,2018-05-04,1
"10969",91042,2018-05-07,1
"10970",91042,2018-06-04,1
"10971",91042,2019-03-21,1
"10972",91042,2019-04-02,1
"10973",91042,2019-04-30,1
"10974",91042,2019-05-15,2
"10975",91042,2019-07-24,1
"10976",91042,2019-08-31,1
"10977",91042,2019-09-01,1
"10978",91042,2019-09-16,1
"10979",91042,2019-10-09,1
"10980",91042,2020-03-09,1
"10981",91042,2020-04-16,1
"10982",91042,2020-10-06,1
"10983",91042,2021-02-24,1
"10984",91066,2018-06-28,1
"10985",91066,2018-09-04,1
"10986",91077,2018-09-07,1
"10987",91077,2018-11-06,1
"10988",91077,2022-12-15,1
"10989",91101,2018-04-11,1
"10990",91101,2018-09-18,1
"10991",91101,2018-10-09,1
"10992",91101,2019-05-16,1
"10993",91101,2019-08-06,1
"10994",91101,2019-08-07,1
"10995",91101,2019-08-08,1
"10996",91101,2019-08-21,1
"10997",91101,2019-11-14,1
"10998",91101,2020-01-11,1
"10999",91101,2020-02-18,1
"11000",91101,2020-06-03,1
"11001",91101,2020-06-23,1
"11002",91101,2020-07-08,1
"11003",91101,2020-10-14,1
"11004",91101,2021-04-23,1
"11005",91101,2021-05-14,1
"11006",91101,2021-05-21,1
"11007",91101,2021-06-04,1
"11008",91101,2021-07-08,1
"11009",91101,2021-08-18,1
"11010",91101,2021-09-17,1
"11011",91101,2021-11-18,1
"11012",91101,2022-01-21,1
"11013",91101,2022-07-07,1
"11014",91101,2022-08-09,1
"11015",91101,2022-08-11,1
"11016",91101,2022-09-17,1
"11017",91103,2018-08-10,1
"11018",91103,2018-10-10,1
"11019",91103,2019-03-04,1
"11020",91103,2019-12-12,1
"11021",91103,2020-07-01,1
"11022",91103,2021-02-24,1
"11023",91103,2021-04-07,1
"11024",91103,2021-10-22,2
"11025",91103,2022-10-24,1
"11026",91103,2022-10-26,1
"11027",91103,2022-11-23,1
"11028",91104,2018-01-02,1
"11029",91104,2018-01-05,1
"11030",91104,2018-10-12,1
"11031",91104,2018-12-28,1
"11032",91104,2020-06-11,1
"11033",91104,2021-02-12,1
"11034",91104,2021-08-10,2
"11035",91104,2022-07-25,1
"11036",91104,2022-12-27,1
"11037",91105,2018-04-12,1
"11038",91105,2018-05-16,1
"11039",91105,2018-08-29,1
"11040",91105,2018-10-19,1
"11041",91105,2018-11-08,1
"11042",91105,2019-01-31,1
"11043",91105,2019-09-26,1
"11044",91105,2021-11-08,1
"11045",91105,2022-03-17,1
"11046",91105,2022-07-12,1
"11047",91106,2018-02-07,1
"11048",91106,2018-12-20,1
"11049",91106,2019-01-09,1
"11050",91106,2019-06-22,1
"11051",91106,2020-01-10,1
"11052",91106,2020-01-14,1
"11053",91106,2020-01-27,1
"11054",91106,2020-01-31,1
"11055",91106,2020-02-15,1
"11056",91106,2020-03-19,1
"11057",91106,2020-05-21,1
"11058",91106,2020-07-09,1
"11059",91106,2020-11-06,1
"11060",91106,2021-05-01,1
"11061",91106,2021-07-16,1
"11062",91106,2022-02-14,1
"11063",91107,2018-03-18,1
"11064",91107,2018-04-06,1
"11065",91107,2018-11-20,1
"11066",91107,2019-01-10,1
"11067",91107,2019-05-22,1
"11068",91107,2019-06-18,1
"11069",91107,2020-01-08,1
"11070",91107,2020-04-19,1
"11071",91107,2020-08-06,1
"11072",91107,2020-11-10,1
"11073",91107,2020-11-12,1
"11074",91107,2021-01-18,1
"11075",91107,2021-02-21,1
"11076",91107,2021-03-16,1
"11077",91107,2021-04-26,1
"11078",91107,2021-04-27,2
"11079",91107,2021-04-29,1
"11080",91107,2021-04-30,2
"11081",91107,2021-05-05,1
"11082",91107,2021-05-10,1
"11083",91107,2021-05-17,1
"11084",91107,2021-05-26,1
"11085",91107,2021-09-28,1
"11086",91107,2022-06-14,1
"11087",91107,2022-06-30,1
"11088",91107,2022-07-29,1
"11089",91107,2022-08-06,1
"11090",91107,2022-10-01,1
"11091",91108,2018-09-07,1
"11092",91108,2019-05-15,1
"11093",91108,2019-10-10,1
"11094",91125,2020-01-08,1
"11095",91201,2018-03-04,3
"11096",91201,2018-12-21,1
"11097",91201,2019-02-08,1
"11098",91201,2019-11-02,3
"11099",91201,2020-06-23,1
"11100",91201,2021-01-15,2
"11101",91201,2021-01-20,1
"11102",91201,2021-01-26,1
"11103",91201,2021-02-02,1
"11104",91201,2021-02-03,1
"11105",91201,2021-02-04,1
"11106",91201,2021-02-05,1
"11107",91201,2021-06-09,4
"11108",91201,2021-06-10,5
"11109",91201,2021-06-17,1
"11110",91201,2022-06-03,1
"11111",91201,2022-06-06,1
"11112",91201,2022-08-24,1
"11113",91201,2022-08-31,1
"11114",91202,2018-10-11,1
"11115",91202,2019-06-27,1
"11116",91202,2020-05-09,1
"11117",91202,2021-08-16,1
"11118",91202,2022-03-30,1
"11119",91203,2020-06-30,1
"11120",91203,2020-07-11,1
